uniprot_id,protein,gene,description,n_seq,CR10_T1,CR10_T2,CR12_T1,CR12_T2,CR149_T1,CR149_T2,CR15_T1,CR163_T1,CR163_T2,CR17_T1,CR17_T2,CR18_T1,CR18_T2,CR22_T1,CR22_T2,CR23_T1,CR25_T1,CR25_T2,CR383_T1,CR386_T1,CR386_T2,CR6_T1,CR6_T2,CR7_T1,CR7_T2,CR72_T1,CR72_T2,CR8_T1,CR8_T2,CR9_T2,PPS2,PPS20,PPS28,PPS31,PPS32,PPS37,PPS40,PPS41,PPS42,PPS44
P68871,HBB_HUMAN,HBB,Hemoglobin subunit beta,31,35.438870987083696,31.044610627507556,31.78249496206314,32.47025132358976,33.48386947264499,32.37980897581809,33.98171556145876,31.98900753700603,32.40163427556045,32.18765389885834,32.49869630064095,31.103664012301678,33.5016862790077,34.690724943129425,32.856666622657876,35.27217767034912,33.303632377944396,32.3218129317846,30.326418868112942,38.49506532422165,33.40463110129428,32.134562982596215,32.482640066319505,40.008174290287215,32.633350657357326,32.21343772545726,33.68053743053692,31.991983400024658,31.507966226705623,37.75930778689196,29.30796720188411,31.086999931664174,29.888141719466624,29.55289102946705,29.925791559984862,29.896648844472942,29.310054076836128,31.732944956775214,29.220146609651025,29.97719355799097
P69905,HBA_HUMAN,HBA1,Hemoglobin subunit alpha,24,34.554664293369086,30.049071516762034,31.153879152557064,31.850074580054,33.03749379869853,31.035932485249887,33.55459728698188,31.305319419264638,31.52969628341888,31.607843728414153,31.557977050631933,30.344821167604426,32.73570275566226,33.54790885929069,32.345579072613255,34.991925786599964,32.87197269883229,31.644326999128626,29.380725223160844,37.59323290735056,32.90707387118243,31.00537918469912,31.431064190821996,38.70018721633352,32.153052746725834,31.60638344742467,33.44053401302366,30.98290558621365,30.889534239680383,37.17647924848669,28.231286886741678,29.764832034065353,28.709529502820633,28.846113683325925,28.571101296837092,29.010230892236212,28.38172375973142,31.174585025047623,28.456891087397885,28.748063107754998
P02144,MYG_HUMAN,MB,Myoglobin,16,31.04129452460084,31.578964208699794,31.873734198748256,31.179121037290237,30.78755615267235,30.60624643969113,30.540213098393195,31.62413559302981,31.151544369827196,31.337741878302868,30.947428623211973,30.83591076300902,31.01653210266192,30.90482568992399,30.86575433961669,31.80284700289639,31.147399060341737,31.289530005414782,31.50923548755526,28.95887792480878,31.141183237844068,31.94167152576516,31.22627252781632,27.680167762231886,31.19857839716513,31.33136551693597,30.68782902165608,30.716031153074834,31.513058832330124,31.741502271142675,31.305589901162787,31.18095681218103,31.43717552077899,31.211635742970074,31.774631217667107,31.681676085292068,31.177716949915087,31.755178451189376,31.92171111096614,31.388838383747355
P02768,ALBU_HUMAN,ALB,Serum albumin,91,32.85780190335217,30.05551275805661,30.022054418694275,30.377745545654854,30.99592247872376,30.392492728053078,32.90005401234674,29.790325717545002,29.894810877322428,30.425925016842424,30.578944722037004,28.884565685466132,30.472920101575987,32.50253207708375,30.724087194247808,33.81358574974772,31.22511237184933,30.55893211085977,28.84615847265115,35.79129216340565,32.135575944115345,29.98164996797481,31.95786725103083,36.375664890483236,30.288080345744405,30.8043943418785,32.2607067075512,29.70848555035302,29.898728000561825,35.12574497705189,28.436051043689826,28.880489820664994,29.118756807830643,27.261293098055166,28.025448696369626,28.137808980142808,27.536526787600526,29.67565760165342,27.91723193276301,28.636680505183627
P06732,KCRM_HUMAN,CKM,Creatine kinase M-type,31,30.502615847632303,30.63221971795549,30.51534218883481,30.408444056068703,30.82243857074297,30.955681138055116,30.014949219636517,30.654068282388348,30.54216456696705,30.706386978215633,30.747775322544342,30.592595064244737,30.646887984255088,30.616145410949063,30.600515562170614,30.32904215662921,30.291075656894613,30.40871159870449,30.525603294049482,28.047573474822574,30.774488226346307,30.978536188920863,30.388450531386237,27.192987813821066,30.742392851720243,30.517654860965116,30.166376912496755,31.01708628675297,31.279889676268926,30.028161432027673,30.158616883162114,30.67973674599253,30.460021885505796,30.462903259424,30.682364031880766,30.436693963125624,30.36035697804614,30.69602116926989,30.539387361967893,30.85667923143762
P04075,ALDOA_HUMAN,ALDOA,Fructose-bisphosphate aldolase A,40,29.78860053171405,29.7874909695259,29.742995047709826,29.582725502355498,29.72112559120902,30.038269460639157,29.299002206831467,29.708882701936822,29.640219769127512,29.730815695271353,29.771492590737267,29.845223383205763,29.687806134580423,29.685992432660026,29.763274527126015,29.071119505693293,29.407633817015768,29.66907261470045,29.71800243579188,29.520983331102954,29.740319367296205,29.899510594293247,29.633151371279805,29.289138345320325,29.422449763127812,29.902311802180026,29.796233425178027,30.095062620756654,30.19173009215601,29.901241272004206,29.494897288772698,29.335159655200933,29.72851246570974,29.37601409294896,29.332345595464222,29.491842477879548,29.784050892389253,30.168279239948866,29.624038445655287,29.542626339273518
P04406,G3P_HUMAN,GAPDH,Glyceraldehyde-3-phosphate dehydrogenase,30,29.728044104472684,29.804792645070634,29.523244923809813,29.491668774535174,29.27828665571496,29.825677292511482,29.470914015370354,29.674701097750294,29.67733508370736,29.597195309554067,29.608720467178774,29.658683681874546,29.80032602140851,29.598546060494286,29.844812882698847,28.954693168418995,29.581978535825417,29.712506209569064,29.265503752444832,29.53638693735099,29.363147234841925,29.77658343079612,29.645870063681304,29.76935044540347,29.56434704267624,29.809851158786188,29.761686088581015,30.03910701405066,29.91210713551122,29.96555026810427,29.431008783587355,29.50428822330142,29.55293415718437,29.560184267001812,28.978004423148338,29.213175872849828,29.69808959619443,29.592238121688055,29.167856964305685,29.441263919708092
P12277,KCRB_HUMAN,CKB,Creatine kinase B-type,20,29.392444364438177,29.097630421235877,29.35280739722991,29.074642196414633,29.238841535789263,29.758544376911978,29.394309212856655,30.09699261206615,30.050013774261352,29.224670346481854,29.100505142296576,29.018224099183477,28.738734328346823,28.687378853486468,28.883355166487085,29.5136404673011,29.027897230403592,29.13445238704241,29.368229271586625,30.02454577270884,29.382386443916662,29.32807685364512,29.23451923281492,29.596076276861787,29.216898319364436,29.27934428551385,28.781876149235035,30.604835568186637,30.454865855717994,29.393730710803844,29.027077442948293,29.9529338428235,29.53494504560409,29.375892225957667,29.805192479013435,29.609991390388718,29.266354339806384,28.765773381142367,29.633693493053993,29.712375961343188
P07451,CAH3_HUMAN,CA3,Carbonic anhydrase 3,21,28.88749124910094,29.23198938942219,30.043042456840006,29.442048339169787,29.164512743910283,29.312825335296797,28.60452750442615,29.28564756918093,29.641701535554578,29.58020152450296,29.46362519410797,29.303151972316773,29.617983422092916,28.771260142636073,29.05642020664496,31.008429357260447,28.679162544031165,28.75155261195289,29.19791394910587,28.051926426489086,29.108665354278365,29.500781247640276,29.281768445895583,26.788484658208336,29.666541570382474,28.597253276522352,28.612029719357633,29.54744543191332,29.512729442390153,29.66205107831579,29.178289356316903,29.144711889112386,28.80126712551626,28.701434485036277,29.228640542259907,28.757009912967128,29.101572500517165,28.612756761300826,29.795464579712004,28.40984083536055
Q13642,FHL1_HUMAN,FHL1,Four and a half LIM domains protein 1,18,28.214821798385646,28.92085489857514,29.203537072307277,28.901729450490205,28.29205196233736,29.175753881681135,27.925590901445624,28.812883642114382,28.717891933585566,28.788978068989227,29.02645894533654,28.60801012794875,28.79802318005799,28.097230268892506,27.91764191195417,28.440648898351366,28.21111919250929,28.777869535795038,29.226616109005565,27.435311043570465,28.48844426669198,29.15907521484,28.888893524232458,26.98269157783719,28.833452091294244,28.61156056495707,27.92582071683478,28.06012620698723,29.263255506226034,28.210696410693956,29.001803431456185,29.070602146068516,29.18238460224393,28.62251022175514,29.114066568584565,29.13392635504421,28.467681364487852,29.43099943436517,29.07480879873641,29.072478947005525
