uniprot_id,protein,gene,description,n_seq,gene_symbol,CR10_T1,CR10_T2,CR12_T1,CR12_T2,CR149_T1,CR149_T2,CR15_T1,CR163_T1,CR163_T2,CR17_T1,CR17_T2,CR18_T1,CR18_T2,CR22_T1,CR22_T2,CR23_T1,CR25_T1,CR25_T2,CR383_T1,CR386_T1,CR386_T2,CR6_T1,CR6_T2,CR7_T1,CR7_T2,CR72_T1,CR72_T2,CR8_T1,CR8_T2,CR9_T2,PPS2,PPS20,PPS28,PPS31,PPS32,PPS37,PPS40,PPS41,PPS42,PPS44,logFC,CI.L,CI.R,average_intensity,t,B,P.Value,adj.P.Val,sig.PVal,sig.FDR,pi_score,pi_pval,sig_pi,sig_nominal_01
P68871,HBB_HUMAN,HBB,Hemoglobin subunit beta,31,"=""""",35.4388709870837,31.0446106275076,31.7824949620631,32.4702513235898,33.483869472645,32.3798089758181,33.9817155614588,31.989007537006,32.4016342755604,32.1876538988583,32.498696300641,31.1036640123017,33.5016862790077,34.6907249431294,32.8566666226579,35.2721776703491,33.3036323779444,32.3218129317846,30.3264188681129,38.4950653242216,33.4046311012943,32.1345629825962,32.4826400663195,40.0081742902872,32.6333506573573,32.2134377254573,33.6805374305369,31.9919834000247,31.5079662267056,37.759307786892,29.3079672018841,31.0869999316642,29.8881417194666,29.552891029467,29.9257915599849,29.8966488444729,29.3100540768361,31.7329449567752,29.220146609651,29.977193557991,-0.0773643446414951,-1.57126735364004,1.41653866435705,32.4811458526851,-0.104742332635797,-5.78028742286866,0.917116119227395,0.99407463931736,0,0,0.002907017341635739,0.8676872607982504,0,0
P69905,HBA_HUMAN,HBA1,Hemoglobin subunit alpha,24,"=""""",34.5546642933691,30.049071516762,31.1538791525571,31.850074580054,33.0374937986985,31.0359324852499,33.5545972869819,31.3053194192646,31.5296962834189,31.6078437284142,31.5579770506319,30.3448211676044,32.7357027556623,33.5479088592907,32.3455790726133,34.9919257866,32.8719726988323,31.6443269991286,29.3807252231608,37.5932329073506,32.9070738711824,31.0053791846991,31.431064190822,38.7001872163335,32.1530527467258,31.6063834474247,33.4405340130237,30.9829055862137,30.8895342396804,37.1764792484867,28.2312868867417,29.7648320340654,28.7095295028206,28.8461136833259,28.5711012968371,29.0102308922362,28.3817237597314,31.1745850250476,28.4568910873979,28.748063107755,0.16674641396876,-1.40514157412157,1.73863440205909,31.6719924021549,0.214555029817138,-5.76398343912661,0.831230135950043,0.99407463931736,0,0,0.013386188673831713,0.7342810278840897,0,0
P02144,MYG_HUMAN,MB,Myoglobin,16,"=""""",31.0412945246008,31.5789642086998,31.8737341987483,31.1791210372902,30.7875561526724,30.6062464396911,30.5402130983932,31.6241355930298,31.1515443698272,31.3377418783029,30.947428623212,30.835910763009,31.0165321026619,30.904825689924,30.8657543396167,31.8028470028964,31.1473990603417,31.2895300054148,31.5092354875553,28.9588779248088,31.1411832378441,31.9416715257652,31.2262725278163,27.6801677622319,31.1985783971651,31.331365516936,30.6878290216561,30.7160311530748,31.5130588323301,31.7415022711427,31.3055899011628,31.180956812181,31.437175520779,31.2116357429701,31.7746312176671,31.6816760852921,31.1777169499151,31.7551784511894,31.9217111109661,31.3888383837474,-0.0738666409337831,-0.631924588378796,0.48419130651123,31.1252915730632,-0.26771508625871,-5.75207229600388,0.790326856203655,0.99407463931736,0,0,0.007548672841576438,0.7938764352104976,0,0
P02768,ALBU_HUMAN,ALB,Serum albumin,91,"=""""",32.8578019033522,30.0555127580566,30.0220544186943,30.3777455456549,30.9959224787238,30.3924927280531,32.9000540123467,29.790325717545,29.8948108773224,30.4259250168424,30.578944722037,28.8845656854661,30.472920101576,32.5025320770837,30.7240871942478,33.8135857497477,31.2251123718493,30.5589321108598,28.8461584726512,35.7912921634057,32.1355759441153,29.9816499679748,31.9578672510308,36.3756648904832,30.2880803457444,30.8043943418785,32.2607067075512,29.708485550353,29.8987280005618,35.1257449770519,28.4360510436898,28.880489820665,29.1187568078306,27.2612930980552,28.0254486963696,28.1378089801428,27.5365267876005,29.6756576016534,27.917231932763,28.6366805051836,-0.193797833441273,-1.52399619926402,1.13640053238148,30.5818404839054,-0.294670255845106,-5.74503336984991,0.769805785510643,0.99407463931736,0,0,0.022019082950483607,0.6708583925642427,0,0
P06732,KCRM_HUMAN,CKM,Creatine kinase M-type,31,"=""""",30.5026158476323,30.6322197179555,30.5153421888348,30.4084440560687,30.822438570743,30.9556811380551,30.0149492196365,30.6540682823883,30.542164566967,30.7063869782156,30.7477753225443,30.5925950642447,30.6468879842551,30.6161454109491,30.6005155621706,30.3290421566292,30.2910756568946,30.4087115987045,30.5256032940495,28.0475734748226,30.7744882263463,30.9785361889209,30.3884505313862,27.1929878138211,30.7423928517202,30.5176548609651,30.1663769124968,31.017086286753,31.2798896762689,30.0281614320277,30.1586168831621,30.6797367459925,30.4600218855058,30.462903259424,30.6823640318808,30.4366939631256,30.3603569780461,30.6960211692699,30.5393873619679,30.8566792314376,-0.196884142907614,-0.639912491152757,0.24614420533753,30.424476059557,-0.898841292259523,-5.41360663447406,0.374243265359475,0.99407463931736,0,0,0.08403921008384978,0.4177145981410607,0,0
P04075,ALDOA_HUMAN,ALDOA,Fructose-bisphosphate aldolase A,40,"=""""",29.788600531714,29.7874909695259,29.7429950477098,29.5827255023555,29.721125591209,30.0382694606392,29.2990022068315,29.7088827019368,29.6402197691275,29.7308156952714,29.7714925907373,29.8452233832058,29.6878061345804,29.68599243266,29.763274527126,29.0711195056933,29.4076338170158,29.6690726147005,29.7180024357919,29.520983331103,29.7403193672962,29.8995105942932,29.6331513712798,29.2891383453203,29.4224497631278,29.90231180218,29.796233425178,30.0950626207567,30.191730092156,29.9012412720042,29.4948972887727,29.3351596552009,29.7285124657097,29.376014092949,29.3323455954642,29.4918424778795,29.7840508923893,30.1682792399489,29.6240384456553,29.5426263392735,-0.0308776052241377,-0.352921217172881,0.291166006724605,29.6732410848942,-0.193924515030456,-5.76790053862967,0.847239688221569,0.99407463931736,0,0,0.002222993302550509,0.8895571350464735,0,0
P04406,G3P_HUMAN,GAPDH,Glyceraldehyde-3-phosphate dehydrogenase,30,"=""""",29.7280441044727,29.8047926450706,29.5232449238098,29.4916687745352,29.278286655715,29.8256772925115,29.4709140153704,29.6747010977503,29.6773350837074,29.5971953095541,29.6087204671788,29.6586836818745,29.8003260214085,29.5985460604943,29.8448128826988,28.954693168419,29.5819785358254,29.7125062095691,29.2655037524448,29.536386937351,29.3631472348419,29.7765834307961,29.6458700636813,29.7693504454035,29.5643470426762,29.8098511587862,29.761686088581,30.0391070140507,29.9121071355112,29.965550268104298,29.4310087835874,29.5042882233014,29.5529341571844,29.5601842670018,28.9780044231483,29.2131758728498,29.6980895961944,29.5922381216881,29.1678569643057,29.4412639197081,-0.0421418503924329,-0.363469583941619,0.279185883156754,29.5845165457791,-0.265258422640765,-5.75268040506256,0.792204901691788,0.99407463931736,0,0,0.004263173877001002,0.8408966648441771,0,0
P12277,KCRB_HUMAN,CKB,Creatine kinase B-type,20,"=""""",29.3924443644382,29.0976304212359,29.3528073972299,29.0746421964146,29.2388415357893,29.758544376912,29.3943092128567,30.0969926120661,30.0500137742614,29.2246703464819,29.1005051422966,29.0182240991835,28.7387343283468,28.6873788534865,28.8833551664871,29.5136404673011,29.0278972304036,29.1344523870424,29.3682292715866,30.0245457727088,29.3823864439167,29.3280768536451,29.2345192328149,29.5960762768618,29.2168983193644,29.2793442855139,28.781876149235,30.6048355681866,30.454865855718,29.3937307108038,29.0270774429483,29.9529338428235,29.5349450456041,29.3758922259577,29.8051924790134,29.6099913903887,29.2663543398064,28.7657733811424,29.633693493054,29.7123759613432,-0.205258011462202,-0.696802600767239,0.286286577842834,29.4033674563668,-0.844580382780141,-5.45671158189352,0.403487061450541,0.99407463931736,0,0,0.08090662984662686,0.4242755604155276,0,0
P07451,CAH3_HUMAN,CA3,Carbonic anhydrase 3,21,"=""""",28.8874912491009,29.2319893894222,30.04304245684,29.4420483391698,29.1645127439103,29.3128253352968,28.6045275044262,29.2856475691809,29.6417015355546,29.580201524503,29.463625194108,29.3031519723168,29.6179834220929,28.7712601426361,29.056420206645,31.0084293572604,28.6791625440312,28.7515526119529,29.1979139491059,28.0519264264891,29.1086653542784,29.5007812476403,29.2817684458956,26.7884846582083,29.6665415703825,28.5972532765224,28.6120297193576,29.5474454319133,29.5127294423902,29.6620510783158,29.1782893563169,29.1447118891124,28.8012671255163,28.7014344850363,29.2286405422599,28.7570099129671,29.1015725005172,28.6127567613008,29.795464579712,28.4098408353606,0.0191743679186374,-0.569826141364175,0.608174877201449,29.1276037921762,0.0658429345450759,-5.78337475451567,0.947838623990863,0.995017552763502,0,0,4.4610313540671004e-4,0.9546200109349371,0,0
Q13642,FHL1_HUMAN,FHL1,Four and a half LIM domains protein 1,18,"=""""",28.2148217983856,28.9208548985751,29.2035370723073,28.9017294504902,28.2920519623374,29.1757538816811,27.9255909014456,28.8128836421144,28.7178919335856,28.7889780689892,29.0264589453365,28.6080101279487,28.798023180058,28.0972302688925,27.9176419119542,28.4406488983514,28.2111191925093,28.777869535795,29.2266161090056,27.4353110435705,28.488444266692,29.15907521484,28.8888935242325,26.9826915778372,28.8334520912942,28.6115605649571,27.9258207168348,28.0601262069872,29.263255506226,28.210696410694,29.0018034314562,29.0706021460685,29.1823846022439,28.6225102217551,29.1140665685846,29.1339263550442,28.4676813644879,29.4309994343652,29.0748087987364,29.0724789470055,-0.320519811163205,-0.839439098220518,0.198399475894107,28.6522075193419,-1.24927732686461,-5.07453713422344,0.218996103539743,0.99407463931736,0,0,0.21140320443898816,0.24002186987424823,0,0
P68133,ACTS_HUMAN,ACTA1,"Actin, alpha skeletal muscle",18,"=""""",27.6486899609655,27.1949363974598,27.8618070073861,29.714343641571,27.5666645929889,27.8888851442157,27.6197541968213,28.2856074255311,28.2607710384097,27.5617397235032,29.6083602772218,29.613277507616,27.4557633253309,27.8882371758003,26.9714511868248,27.2488121570695,27.856568373687,30.818028322981,27.9260955370193,28.2932596133831,27.9356896526341,27.5911960662742,31.5562813924096,28.58464432472,27.9572474467821,27.4962057470781,27.3835538423508,26.9333634098034,26.3915646940402,28.5356662820247,28.3046631281745,28.191068275592,28.3827969830258,26.7670687363792,28.084840182975,27.2464193130714,26.6905435572509,27.7854672001453,27.893504354617,27.477212505523,-0.0515579700409283,-1.45993606406081,1.35682012397895,28.0118012425164,-0.0740423750249928,-5.7828410651753,0.941354442480956,0.99407463931736,0,0,0.0013532329402894503,0.9136139967195188,0,0
P06733,ENOA_HUMAN,ENO1,Alpha-enolase,27,"=""""",28.4594042341165,28.0530064179951,28.2061434862804,28.3373111433522,28.0849122817762,28.1960710593773,28.7501795389687,28.1673757267514,27.8515212141706,27.7172969004449,27.9449452575153,28.1619196813026,28.0200701317842,28.4984144799403,28.0941641151086,29.0404545814342,28.2586431443593,28.4510594457046,27.9941724041571,30.5350692342992,28.2533025158354,28.0212470520271,27.89488871992,30.600981789305,27.8566807877263,28.2026402619148,28.6053590029922,28.3838408226841,27.8886456131593,29.9230286672426,28.4697704784646,27.9536863294746,28.226817089963,28.0988151731246,27.7612927601531,28.0120793875923,27.9029983777845,28.3033709932931,28.2211292704637,27.7736562968453,0.108879314451141,-0.345986274102602,0.563744903004884,28.3294091467201,0.484134561676897,-5.67667341250948,0.630993062728576,0.99407463931736,0,0,0.02177318614184095,0.6714051394204483,0,0
P13929,ENOB_HUMAN,ENO3,Beta-enolase,18,"=""""",28.0315132263813,28.2680641500293,27.920327491105,27.8239360232002,27.5210304686025,27.6780682571545,27.5404502827473,28.030810738804,28.1169252227406,27.9076619440114,27.8745595416705,27.9232355087583,27.7797515610433,27.779543923462,28.1853659363613,26.6098700048004,28.285155600131,28.3869216748394,28.5296696204673,24.6884108591105,27.7299494670565,28.1784669721414,27.7595801538434,24.9202009035644,27.6559758727198,28.4001141921627,28.3464283252897,28.1021615810332,27.9473534961501,26.2931499627215,28.6875855726387,28.2988587268033,28.2620544964154,28.728309599695,27.281089842037,28.0174783282265,28.6173932106305,28.4492398517553,27.5774034949294,27.7098056789917,-0.16022897819904,-0.766881489234425,0.446423532836345,27.7960967941056,-0.534201196190798,-5.65311830244623,0.596228990734597,0.99407463931736,0,0,0.03598533124660735,0.576271186440678,0,0
P60709,ACTB_HUMAN,ACTB,"Actin, cytoplasmic 1",24,"=""""",28.0541303645886,26.7089833075143,26.9763928213332,28.3488307744748,27.0314948891239,27.382740309502,28.8089681538929,26.7667410946602,26.9027267063536,26.6518185856954,28.4626008370868,28.0435962247771,26.8494035555026,28.0979871139019,26.938798723477,29.4694258997726,27.451163827945,29.2660802324381,26.6507847651522,30.7531441864343,28.1299732951023,26.6461322455908,30.0325011447285,31.5506214429232,26.8373780973581,27.0664093233781,28.7199811808951,26.2147654302239,25.8890364424587,30.2993399720299,26.7852886918124,26.9121796353574,27.0273603005183,25.573570141155,26.658382225968,25.9204907032275,25.4627456053209,26.209817353634,26.3072110623653,26.4046114286149,0.0956840852831569,-1.13475357315743,1.32612174372375,27.5065902024072,0.157283761703757,-5.7738838630626,0.875831199484535,0.99407463931736,0,0,0.00550945022025367,0.8195735374521597,0,0
P01857,IGHG1_HUMAN,IGHG1,Immunoglobulin heavy constant gamma 1,20,"=""""",30.3051617461782,27.2899672625378,27.2174968246413,27.8315170373974,27.7779602393626,26.6507832331146,29.4245928108195,26.0686722809535,26.1657762348174,27.64156609996,27.8044626632437,24.7594945261299,26.6746588716176,29.1041142509206,28.0272494106463,30.3281480883718,28.7711750214405,27.4864957109165,24.4474536285754,30.8493314155501,28.8069829167633,26.1726906618764,28.6357079527847,30.4053332790954,26.8307235438993,26.7426947742338,29.0148964731099,25.7444094077155,25.6552367097726,30.637977606911,24.0424346088422,25.4507137634357,23.7446856695125,24.2746391642079,24.1354424669529,24.4655419621492,24.3380402153081,25.9647276810559,23.9570158668747,24.6273998113228,0.251906921079506,-1.20771030829208,1.71152415045109,26.9568342973255,0.349063879570995,-5.72878608012444,0.728915553123274,0.99407463931736,0,0,0.03459255945480619,0.5839256424275561,0,0
P32119,PRDX2_HUMAN,PRDX2,Peroxiredoxin-2,16,"=""""",29.8434235381684,26.5125782220319,26.5181911296264,27.2015747186705,28.1374455260347,26.8771218750306,28.4037858473275,26.8051769966171,27.1455603845433,27.3690516138932,27.2957252710368,26.2003106453903,28.3130322560052,29.0862938905233,27.8655379923938,29.521580343894,28.3868498286559,27.0515963136485,26.399943243318,29.4181288493925,28.2453433501209,27.0422046996475,26.8814837313326,31.8392890690979,27.515548570595602,27.3897993959078,28.9099764458436,26.7934701118047,27.24024510054,31.0811762834598,25.5754182307419,25.9777454897505,25.8258402861194,25.6943175015689,25.8743083291997,25.8297461379969,26.0505919733951,26.7467333950457,26.208494781402,26.0451267321462,-0.0389235775812224,-1.07820772125105,1.00036056608861,27.427994202548,-0.0757499310697191,-5.78272205388595,0.940004586796456,0.99407463931736,0,0,0.001045877589684989,0.9278294149808639,0,0
P14618,KPYM_HUMAN,PKM,Pyruvate kinase PKM,33,"=""""",27.4389174076705,27.650424332564,27.1569300001199,27.4487090655565,27.4556854056092,27.9427243854539,27.008347534411,27.550955751153,27.4003177791618,27.3957526378321,27.537827409756,27.6357337812195,27.8045198054705,27.2802943440701,27.735827591573,26.5024714841366,27.5504024410038,27.7948365856395,27.3176564837516,26.1073862054948,27.3205962693053,27.6070424331433,27.5453026757524,26.3642754719957,27.2829316214624,27.5985864409856,27.832964998569,27.9849782469034,27.7937166541296,27.3240092073703,27.7675701367896,27.4401789399614,27.5708864442266,27.9598510325968,27.1948093025929,27.503389763266,27.957380927921,27.580617047978,27.2445934132661,27.4800762830545,-0.0405927404358124,-0.411118251577972,0.329932770706347,27.4517369435729,-0.221581781251525,-5.76255917066281,0.825793487128712,0.99407463931736,0,0,0.003374415516694546,0.8567523236741389,0,0
P60174,TPIS_HUMAN,TPI1,Triosephosphate isomerase,21,"=""""",27.4229990508662,27.7784954175938,27.3744025466101,26.944401629241,26.9932020699122,27.453239623403,27.0224769583529,27.7367626232743,27.5573945597274,27.2550326781796,27.304978377959,27.457075516094,27.368404332204,27.3778212204928,27.4637560748704,27.0649508782148,27.0266541375073,27.20834079594,27.7028453109526,27.7175332043896,26.9774035454188,27.8823427875665,27.5456968251718,26.5190724433262,27.1042624788271,27.5010145886608,27.3785808701427,27.885196049839,27.9273493796028,27.4614350307481,27.5769624767824,27.4858290712049,27.3963823087655,27.621375178516,27.2825446767686,27.1587642282326,27.85723375465,27.7027957435925,27.2914764036735,27.5570267113805,-0.0930055427661003,-0.483264293473079,0.297253207940878,27.4085877889664,-0.482014357131343,-5.67762049464437,0.632484906228927,0.99407463931736,0,0,0.018503437307031904,0.6932750136686714,0,0
