uniprot_id,protein,gene,description,n_seq,gene_symbol,CR10_T1,CR10_T2,CR12_T1,CR12_T2,CR149_T1,CR149_T2,CR15_T1,CR163_T1,CR163_T2,CR17_T1,CR17_T2,CR18_T1,CR18_T2,CR22_T1,CR22_T2,CR23_T1,CR25_T1,CR25_T2,CR383_T1,CR386_T1,CR386_T2,CR6_T1,CR6_T2,CR7_T1,CR7_T2,CR72_T1,CR72_T2,CR8_T1,CR8_T2,CR9_T2,PPS2,PPS20,PPS28,PPS31,PPS32,PPS37,PPS40,PPS41,PPS42,PPS44,logFC,CI.L,CI.R,average_intensity,t,B,P.Value,adj.P.Val,sig.PVal,sig.FDR,pi_score,pi_pval,sig_pi,sig_nominal_01
P68871,HBB_HUMAN,HBB,Hemoglobin subunit beta,31,"=""""",35.4388709870837,31.0446106275076,31.7824949620631,32.4702513235898,33.483869472645,32.3798089758181,33.9817155614588,31.989007537006,32.4016342755604,32.1876538988583,32.498696300641,31.1036640123017,33.5016862790077,34.6907249431294,32.8566666226579,35.2721776703491,33.3036323779444,32.3218129317846,30.3264188681129,38.4950653242216,33.4046311012943,32.1345629825962,32.4826400663195,40.0081742902872,32.6333506573573,32.2134377254573,33.6805374305369,31.9919834000247,31.5079662267056,37.759307786892,29.3079672018841,31.0869999316642,29.8881417194666,29.552891029467,29.9257915599849,29.8966488444729,29.3100540768361,31.7329449567752,29.220146609651,29.977193557991,-0.0257466826010457,-0.774427326981407,0.722933961779316,32.4811458526851,-0.0695552882733848,-6.06910710071885,0.9449024372335,0.976507202775458,0,0,6.337038921635551e-4,0.9398578458173865,0,0
P69905,HBA_HUMAN,HBA1,Hemoglobin subunit alpha,24,"=""""",34.5546642933691,30.049071516762,31.1538791525571,31.850074580054,33.0374937986985,31.0359324852499,33.5545972869819,31.3053194192646,31.5296962834189,31.6078437284142,31.5579770506319,30.3448211676044,32.7357027556623,33.5479088592907,32.3455790726133,34.9919257866,32.8719726988323,31.6443269991286,29.3807252231608,37.5932329073506,32.9070738711824,31.0053791846991,31.431064190822,38.7001872163335,32.1530527467258,31.6063834474247,33.4405340130237,30.9829055862137,30.8895342396804,37.1764792484867,28.2312868867417,29.7648320340654,28.7095295028206,28.8461136833259,28.5711012968371,29.0102308922362,28.3817237597314,31.1745850250476,28.4568910873979,28.748063107755,-0.0866850974407196,-0.874118231223344,0.700748036341905,31.6719924021549,-0.222656940775049,-6.04737890927578,0.824962526936629,0.936691163186252,0,0,0.007243907641272103,0.8042646254784035,0,0
P02144,MYG_HUMAN,MB,Myoglobin,16,"=""""",31.0412945246008,31.5789642086998,31.8737341987483,31.1791210372902,30.7875561526724,30.6062464396911,30.5402130983932,31.6241355930298,31.1515443698272,31.3377418783029,30.947428623212,30.835910763009,31.0165321026619,30.904825689924,30.8657543396167,31.8028470028964,31.1473990603417,31.2895300054148,31.5092354875553,28.9588779248088,31.1411832378441,31.9416715257652,31.2262725278163,27.6801677622319,31.1985783971651,31.331365516936,30.6878290216561,30.7160311530748,31.5130588323301,31.7415022711427,31.3055899011628,31.180956812181,31.437175520779,31.2116357429701,31.7746312176671,31.6816760852921,31.1777169499151,31.7551784511894,31.9217111109661,31.3888383837474,-0.119472340974882,-0.402263341630578,0.163318659680814,31.1252915730632,-0.854490561572043,-5.72002762229407,0.398042908652631,0.736839646852681,0,0,0.04779731246011503,0.5560415527610716,0,0
P02768,ALBU_HUMAN,ALB,Serum albumin,91,"=""""",32.8578019033522,30.0555127580566,30.0220544186943,30.3777455456549,30.9959224787238,30.3924927280531,32.9000540123467,29.790325717545,29.8948108773224,30.4259250168424,30.578944722037,28.8845656854661,30.472920101576,32.5025320770837,30.7240871942478,33.8135857497477,31.2251123718493,30.5589321108598,28.8461584726512,35.7912921634057,32.1355759441153,29.9816499679748,31.9578672510308,36.3756648904832,30.2880803457444,30.8043943418785,32.2607067075512,29.708485550353,29.8987280005618,35.1257449770519,28.4360510436898,28.880489820665,29.1187568078306,27.2612930980552,28.0254486963696,28.1378089801428,27.5365267876005,29.6756576016534,27.917231932763,28.6366805051836,0.0399800436099369,-0.626625923692993,0.706586010912867,30.5818404839054,0.121305236159715,-6.06430783180732,0.904071059422449,0.966712203820446,0,0,0.0017510232776311158,0.9048660470202297,0,0
P06732,KCRM_HUMAN,CKM,Creatine kinase M-type,31,"=""""",30.5026158476323,30.6322197179555,30.5153421888348,30.4084440560687,30.822438570743,30.9556811380551,30.0149492196365,30.6540682823883,30.542164566967,30.7063869782156,30.7477753225443,30.5925950642447,30.6468879842551,30.6161454109491,30.6005155621706,30.3290421566292,30.2910756568946,30.4087115987045,30.5256032940495,28.0475734748226,30.7744882263463,30.9785361889209,30.3884505313862,27.1929878138211,30.7423928517202,30.5176548609651,30.1663769124968,31.017086286753,31.2798896762689,30.0281614320277,30.1586168831621,30.6797367459925,30.4600218855058,30.462903259424,30.6823640318808,30.4366939631256,30.3603569780461,30.6960211692699,30.5393873619679,30.8566792314376,0.0635850199393531,-0.162201945331393,0.289371985210099,30.424476059557,0.569588781068304,-5.91445994042164,0.57221747353702,0.836322906257135,0,0,0.015415481303802266,0.7255330781848004,0,0
P04075,ALDOA_HUMAN,ALDOA,Fructose-bisphosphate aldolase A,40,"=""""",29.788600531714,29.7874909695259,29.7429950477098,29.5827255023555,29.721125591209,30.0382694606392,29.2990022068315,29.7088827019368,29.6402197691275,29.7308156952714,29.7714925907373,29.8452233832058,29.6878061345804,29.68599243266,29.763274527126,29.0711195056933,29.4076338170158,29.6690726147005,29.7180024357919,29.520983331103,29.7403193672962,29.8995105942932,29.6331513712798,29.2891383453203,29.4224497631278,29.90231180218,29.796233425178,30.0950626207567,30.191730092156,29.9012412720042,29.4948972887727,29.3351596552009,29.7285124657097,29.376014092949,29.3323455954642,29.4918424778795,29.7840508923893,30.1682792399489,29.6240384456553,29.5426263392735,-0.0218439028988318,-0.188041678840646,0.144353873042983,29.6732410848942,-0.265833990586608,-6.03714432615652,0.79176495417469,0.923557462490758,0,0,0.0022150531289974362,0.896664844177146,0,0
P04406,G3P_HUMAN,GAPDH,Glyceraldehyde-3-phosphate dehydrogenase,30,"=""""",29.7280441044727,29.8047926450706,29.5232449238098,29.4916687745352,29.278286655715,29.8256772925115,29.4709140153704,29.6747010977503,29.6773350837074,29.5971953095541,29.6087204671788,29.6586836818745,29.8003260214085,29.5985460604943,29.8448128826988,28.954693168419,29.5819785358254,29.7125062095691,29.2655037524448,29.536386937351,29.3631472348419,29.7765834307961,29.6458700636813,29.7693504454035,29.5643470426762,29.8098511587862,29.761686088581,30.0391070140507,29.9121071355112,29.965550268104298,29.4310087835874,29.5042882233014,29.5529341571844,29.5601842670018,28.9780044231483,29.2131758728498,29.6980895961944,29.5922381216881,29.1678569643057,29.4412639197081,0.0671587547048986,-0.0986139661381447,0.232931475547942,29.5845165457791,0.819398284099425,-5.74804800011017,0.417530096865001,0.752542720051364,0,0,0.025474135920354864,0.6599234554401312,0,0
P12277,KCRB_HUMAN,CKB,Creatine kinase B-type,20,"=""""",29.3924443644382,29.0976304212359,29.3528073972299,29.0746421964146,29.2388415357893,29.758544376912,29.3943092128567,30.0969926120661,30.0500137742614,29.2246703464819,29.1005051422966,29.0182240991835,28.7387343283468,28.6873788534865,28.8833551664871,29.5136404673011,29.0278972304036,29.1344523870424,29.3682292715866,30.0245457727088,29.3823864439167,29.3280768536451,29.2345192328149,29.5960762768618,29.2168983193644,29.2793442855139,28.781876149235,30.6048355681866,30.454865855718,29.3937307108038,29.0270774429483,29.9529338428235,29.5349450456041,29.3758922259577,29.8051924790134,29.6099913903887,29.2663543398064,28.7657733811424,29.633693493054,29.7123759613432,-0.130702043572262,-0.379745550121058,0.118341462976534,29.4033674563668,-1.061482006156,-5.53197904113403,0.294989008968071,0.663902312316371,0,0,0.06929746087547496,0.5013668671405139,0,0
P07451,CAH3_HUMAN,CA3,Carbonic anhydrase 3,21,"=""""",28.8874912491009,29.2319893894222,30.04304245684,29.4420483391698,29.1645127439103,29.3128253352968,28.6045275044262,29.2856475691809,29.6417015355546,29.580201524503,29.463625194108,29.3031519723168,29.6179834220929,28.7712601426361,29.056420206645,31.0084293572604,28.6791625440312,28.7515526119529,29.1979139491059,28.0519264264891,29.1086653542784,29.5007812476403,29.2817684458956,26.7884846582083,29.6665415703825,28.5972532765224,28.6120297193576,29.5474454319133,29.5127294423902,29.6620510783158,29.1782893563169,29.1447118891124,28.8012671255163,28.7014344850363,29.2286405422599,28.7570099129671,29.1015725005172,28.6127567613008,29.795464579712,28.4098408353606,0.113950313507981,-0.18315132220877,0.411051949224732,29.1276037921762,0.775739601474691,-5.78132494855788,0.442573591309724,0.764713586656562,0,0,0.04034006375196976,0.590486604702023,0,0
Q13642,FHL1_HUMAN,FHL1,Four and a half LIM domains protein 1,18,"=""""",28.2148217983856,28.9208548985751,29.2035370723073,28.9017294504902,28.2920519623374,29.1757538816811,27.9255909014456,28.8128836421144,28.7178919335856,28.7889780689892,29.0264589453365,28.6080101279487,28.798023180058,28.0972302688925,27.9176419119542,28.4406488983514,28.2111191925093,28.777869535795,29.2266161090056,27.4353110435705,28.488444266692,29.15907521484,28.8888935242325,26.9826915778372,28.8334520912942,28.6115605649571,27.9258207168348,28.0601262069872,29.263255506226,28.210696410694,29.0018034314562,29.0706021460685,29.1823846022439,28.6225102217551,29.1140665685846,29.1339263550442,28.4676813644879,29.4309994343652,29.0748087987364,29.0724789470055,0.14339065763634,-0.118731623363354,0.405512938636035,28.6522075193419,1.10642606744216,-5.48607816532445,0.275308771580421,0.643929621482997,0,0,0.08032457162318296,0.4691088026243849,0,0
